,School_ID,Finance_ID,Short_Name,Long_Name,Primary_Category,Student_Count_Total,Rating_Statement,perc_Student_Count_Low_Income,perc_Student_Count_Special_Ed,perc_Student_Count_English_Learners,perc_Student_Count_Black,perc_Student_Count_Hispanic,perc_Student_Count_White,perc_Student_Count_Asian,perc_Student_Count_Native_American,perc_Student_Count_Other_Ethnicity,perc_Student_Count_Asian_Pacific_Islander,perc_Student_Count_Multi,perc_Student_Count_Hawaiian_Pacific_Islander,perc_Student_Count_Ethnicity_Not_Available,race_majority,geometry,num_counsel_FT,num_counsel_PT,FTE Annual Salary,counselor_student_ratio
0,610191,29291,STONE,Stone Elementary Scholastic Academy,ES,607,1+,0.5255354200988468,0.085667215815486,0.19934102141680396,0.23393739703459637,0.1614497528830313,0.28171334431630973,0.27347611202635913,0.0032948929159802307,0.0,0.0,0.042833607907743,0.0032948929159802307,0.0,White,POINT (-87.68479278594201 41.99535905094481),1.0,0.0,72475.0,0.0016474464579901153
1,609966,23531,HAMMOND,Charles G Hammond Elementary School,ES,342,1,0.9824561403508771,0.18421052631578946,0.38596491228070173,0.09649122807017543,0.8888888888888888,0.005847953216374269,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,Hispanic,POINT (-87.69624330091553 41.85271913412522),1.0,0.0,99272.0,0.0029239766081871343
2,400069,67081,POLARIS,Polaris Charter Academy,ES,378,2,0.9074074074074074,0.1693121693121693,0.021164021164021163,0.8915343915343915,0.0873015873015873,0.013227513227513227,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,Black,POINT (-87.70779647483542 41.89255017313203),0.0,0.0,0.0,0.0
3,400173,66801,PATHWAYS - BRIGHTON PARK HS,Pathways in Education- Brighton Park,HS,408,2+,0.8357843137254902,0.10294117647058823,0.1642156862745098,0.029411764705882353,0.9264705882352942,0.03431372549019608,0.007352941176470588,0.0024509803921568627,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.70264475134516 41.80822578510756),0.0,0.0,0.0,0.0
4,400057,66147,NOBLE - UIC HS,Noble - UIC College Prep,HS,945,1+,0.8507936507936508,0.14708994708994708,0.1037037037037037,0.291005291005291,0.653968253968254,0.013756613756613757,0.03492063492063492,0.0021164021164021165,0.0,0.0,0.0031746031746031746,0.0010582010582010583,0.0,Hispanic,POINT (-87.67611092980181 41.86581741283157),0.0,0.0,0.0,0.0
5,610153,25191,RYDER,William H Ryder Math & Science Specialty ES,ES,402,1,0.8955223880597015,0.2885572139303483,0.007462686567164179,0.9850746268656716,0.009950248756218905,0.0024875621890547263,0.0,0.0,0.0,0.0,0.0024875621890547263,0.0,0.0,Black,POINT (-87.63884270034876 41.73537938937342),1.0,0.0,94783.0,0.0024875621890547263
6,610117,24851,PASTEUR,Louis Pasteur Elementary School,ES,593,2+,0.8853288364249579,0.10961214165261383,0.3777403035413153,0.0016863406408094434,0.9763912310286678,0.013490725126475547,0.0016863406408094434,0.0016863406408094434,0.0,0.0,0.003372681281618887,0.0,0.0016863406408094434,Hispanic,POINT (-87.73266645521085 41.78689537665073),1.0,0.0,77978.0,0.0016863406408094434
7,610092,24641,NASH,Henry H Nash Elementary School,ES,249,3,0.9236947791164659,0.1646586345381526,0.028112449799196786,0.8112449799196787,0.07630522088353414,0.004016064257028112,0.0,0.0,0.0,0.0,0.008032128514056224,0.0,0.10040160642570281,Black,POINT (-87.74793587821061 41.89180975019866),0.0,2.0,28780.0,0.004016064257028112
8,610237,25931,BEETHOVEN,Ludwig Van Beethoven Elementary School,ES,241,2,0.966804979253112,0.15767634854771784,0.0,0.979253112033195,0.008298755186721992,0.012448132780082987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.62713680545437 41.80913475686662),1.0,0.0,99215.0,0.004149377593360996
9,609908,23131,ESMOND,Esmond Elementary School,ES,247,2,0.9392712550607287,0.1659919028340081,0.008097165991902834,0.9878542510121457,0.004048582995951417,0.004048582995951417,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,Black,POINT (-87.66915866999116 41.68941960556063),1.0,0.0,76807.0,0.004048582995951417
10,609945,23371,GOUDY,William C. Goudy Technology Academy,ES,656,1,0.8216463414634146,0.12042682926829268,0.4024390243902439,0.28810975609756095,0.2698170731707317,0.06402439024390244,0.35365853658536583,0.004573170731707317,0.0,0.0,0.018292682926829267,0.001524390243902439,0.0,Asian,POINT (-87.65791249240219 41.97581652958682),1.0,0.0,92417.0,0.001524390243902439
11,610532,22441,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science,MS,1000,2+,0.952,0.111,0.289,0.014,0.97,0.008,0.002,0.004,0.0,0.0,0.001,0.0,0.001,Hispanic,POINT (-87.7113699213332 41.79347932925153),2.0,0.0,79376.5,0.002
12,609704,53091,FARRAGUT HS,David G Farragut Career Academy High School,HS,559,2+,0.9928443649373881,0.259391771019678,0.2844364937388193,0.11806797853309481,0.8658318425760286,0.016100178890876567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.70870563225235 41.84855987384877),3.0,0.0,61590.0,0.005366726296958855
13,609954,23441,GREGORY,John Milton Gregory Elementary School,ES,330,2+,0.9878787878787879,0.14242424242424243,0.0,0.9939393939393939,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.71866612901917 41.870742161904),1.0,0.0,64752.0,0.0030303030303030303
14,610152,25181,RUGGLES,Martha Ruggles Elementary School,ES,413,2,0.9443099273607748,0.11138014527845036,0.0,0.9636803874092009,0.01937046004842615,0.002421307506053269,0.002421307506053269,0.007263922518159807,0.0,0.0,0.002421307506053269,0.002421307506053269,0.0,Black,POINT (-87.61806644739089 41.75194557525239),1.0,0.0,91931.0,0.002421307506053269
15,609972,23591,HAUGAN,Helge A Haugan Elementary School,ES,956,1,0.9267782426778243,0.1694560669456067,0.5920502092050209,0.043933054393305436,0.8326359832635983,0.06171548117154812,0.053347280334728034,0.0010460251046025104,0.0,0.0,0.006276150627615063,0.0010460251046025104,0.0,Hispanic,POINT (-87.72312803497978 41.96402870839728),1.0,0.0,67432.0,0.0010460251046025104
16,610299,26371,KING ES,Dr. Martin L. King Jr Academy of Social Justice,ES,225,1,0.9911111111111112,0.15555555555555556,0.0044444444444444444,0.9866666666666667,0.008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,Black,POINT (-87.6413345407389 41.76533497924157),1.0,0.0,62789.0,0.0044444444444444444
17,609734,46311,TAFT HS,William Howard Taft High School,HS,3644,1,0.5134467618002195,0.12266739846322722,0.09165751920965971,0.02579582875960483,0.40367727771679474,0.45389681668496157,0.07958287596048298,0.0035675082327113064,0.0,0.0,0.022502744237102086,0.0052140504939626785,0.005762897914379802,White,POINT (-87.79154724941422 41.98296098619859),10.0,0.0,86582.5,0.0027442371020856204
18,400106,66148,NOBLE - JOHNSON HS,Noble - John and Eunice Johnson College Prep,HS,607,2,0.9406919275123559,0.23393739703459637,0.004942339373970346,0.957166392092257,0.036243822075782535,0.0016474464579901153,0.0,0.0032948929159802307,0.0,0.0,0.0016474464579901153,0.0,0.0,Black,POINT (-87.63511669835238 41.77836949834166),0.0,0.0,0.0,0.0
19,610097,24681,NIXON,William P Nixon Elementary School,ES,735,2+,0.9401360544217687,0.1346938775510204,0.5428571428571428,0.014965986394557823,0.9605442176870749,0.014965986394557823,0.005442176870748299,0.0027210884353741495,0.0,0.0,0.0013605442176870747,0.0,0.0,Hispanic,POINT (-87.73142009081249 41.91958145214497),1.0,0.0,97926.0,0.0013605442176870747
20,610203,25631,TONTI,Enrico Tonti Elementary School,ES,932,1,0.9377682403433476,0.11909871244635194,0.3948497854077253,0.02682403433476395,0.9645922746781116,0.004291845493562232,0.001072961373390558,0.003218884120171674,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.708179184033 41.78752322925651),1.0,0.0,94783.0,0.001072961373390558
21,610108,24801,OTOOLE,Luke O'Toole Elementary School,ES,344,2+,0.9622093023255814,0.12790697674418605,0.09593023255813954,0.813953488372093,0.15988372093023256,0.005813953488372093,0.0,0.0,0.0,0.0,0.020348837209302327,0.0,0.0,Black,POINT (-87.67486500006889 41.77457107284562),1.0,0.0,99188.0,0.0029069767441860465
22,400026,66075,CICS - LOOMIS,CICS - Loomis Primary,ES,510,,0.8941176470588236,0.07647058823529412,0.0058823529411764705,0.9941176470588236,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.65756105861855 41.72024642296584),0.0,0.0,0.0,0.0
23,610047,24301,MADISON,James Madison Elementary School,ES,203,2+,0.9852216748768473,0.10344827586206896,0.019704433497536946,0.9802955665024631,0.019704433497536946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.59071239557854 41.7595480593299),1.0,0.0,93582.0,0.0049261083743842365
24,610308,30121,RUDOLPH,Wilma Rudolph Elementary Learning Center,ES,92,,0.8478260869565217,0.9456521739130435,0.34782608695652173,0.42391304347826086,0.45652173913043476,0.07608695652173914,0.03260869565217391,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.66809130691543 41.88390675513421),1.0,0.0,93892.0,0.010869565217391304
25,610135,25011,PORTAGE PARK,Portage Park Elementary School,ES,879,1,0.7042093287827076,0.15358361774744028,0.20819112627986347,0.02502844141069397,0.6325369738339022,0.2753128555176337,0.02161547212741752,0.019340159271899887,0.0,0.0,0.015927189988623434,0.010238907849829351,0.0,Hispanic,POINT (-87.76100700351024 41.95698763658335),1.0,0.0,82826.0,0.0011376564277588168
26,610102,24741,OGLESBY,Richard J Oglesby Elementary School,ES,409,2,0.980440097799511,0.1393643031784841,0.0024449877750611247,0.9755501222493888,0.012224938875305624,0.004889975550122249,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0024449877750611247,0.0,Black,POINT (-87.64546949689873 41.75467006209276),1.0,0.0,95495.0,0.0024449877750611247
27,610276,26251,MOLLISON,Irvin C Mollison Elementary School,ES,297,2+,0.9865319865319865,0.09764309764309764,0.006734006734006734,0.98989898989899,0.003367003367003367,0.0,0.0,0.0,0.0,0.0,0.006734006734006734,0.0,0.0,Black,POINT (-87.61661794407227 41.81435828267455),0.0,2.0,30980.0,0.003367003367003367
28,610212,32011,ALBANY PARK,Albany Park Multicultural Academy,MS,254,1+,0.905511811023622,0.15748031496062992,0.2874015748031496,0.04330708661417323,0.8070866141732284,0.05905511811023622,0.07086614173228346,0.0,0.0,0.0,0.01968503937007874,0.0,0.0,Hispanic,POINT (-87.71060878865852 41.97150444292288),1.0,0.0,86331.0,0.003937007874015748
29,609976,23621,HAYT,Stephen K Hayt Elementary School,ES,909,1,0.8217821782178217,0.1496149614961496,0.48624862486248627,0.16611661166116612,0.46314631463146316,0.08690869086908691,0.24092409240924093,0.011001100110011002,0.0,0.0,0.026402640264026403,0.005500550055005501,0.0,Hispanic,POINT (-87.6685037746682 41.9945408856925),1.0,0.0,69905.0,0.0011001100110011
30,400080,66396,ACERO - TORRES,Acero Charter Schools - PFC Omar E. Torres,ES,599,1,0.8714524207011686,0.09849749582637729,0.5225375626043406,0.008347245409015025,0.9849749582637729,0.005008347245409015,0.0,0.001669449081803005,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.73045044341933 41.80819980605674),0.0,0.0,0.0,0.0
31,609942,23341,GOETHE,Johann W von Goethe Elementary School,ES,737,1+,0.6363636363636364,0.13432835820895522,0.22795115332428764,0.04477611940298507,0.7096336499321574,0.19131614654002713,0.0067842605156037995,0.018995929443690638,0.0,0.0,0.027137042062415198,0.0013568521031207597,0.0,Hispanic,POINT (-87.69289969583106 41.9228310066053),1.0,0.0,99272.0,0.0013568521031207597
32,400062,66053,PERSPECTIVES - TECH HS,Perspectives - High School of Technology,HS,311,2+,0.9035369774919614,0.21221864951768488,0.0,0.9839228295819936,0.003215434083601286,0.003215434083601286,0.0,0.003215434083601286,0.0,0.0,0.006430868167202572,0.0,0.0,Black,POINT (-87.6506570244465 41.74594901869882),0.0,0.0,0.0,0.0
33,609902,31061,METCALFE,Ralph H Metcalfe Elementary Community Academy,ES,348,2+,0.9712643678160919,0.16091954022988506,0.0,0.9770114942528736,0.020114942528735632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028735632183908046,Black,POINT (-87.63430552125133 41.66944402241231),1.0,0.0,60516.0,0.0028735632183908046
34,400126,66109,YCCS - ASSOCIATION HOUSE,YCCS-Association House HS,HS,99,1+,0.98989898989899,0.24242424242424243,0.16161616161616163,0.30303030303030304,0.6666666666666666,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,Hispanic,POINT (-87.70685988382161 41.9015724066718),0.0,0.0,0.0,0.0
35,610590,26181,BRONZEVILLE CLASSICAL,Bronzeville Classical Elementary School,ES,201,,0.15422885572139303,0.03482587064676617,0.024875621890547265,0.6965174129353234,0.04477611940298507,0.06467661691542288,0.12935323383084577,0.0,0.0,0.0,0.06467661691542288,0.0,0.0,Black,POINT (-87.62662117926456 41.81924917287333),1.0,0.0,84499.0,0.004975124378109453
36,609928,23271,FULLER,Melville W Fuller Elementary School,ES,353,2+,0.9688385269121813,0.12464589235127478,0.0056657223796034,0.9886685552407932,0.0028328611898017,0.0056657223796034,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.61178404265375 41.81800340293327),1.0,0.0,92417.0,0.0028328611898017
37,609750,49051,SIMPSON HS,Simpson Academy HS for Young Women,HS,31,1,0.967741935483871,0.1935483870967742,0.0967741935483871,0.7419354838709677,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.6687222293137 41.86436548208224),1.0,0.0,84143.0,0.03225806451612903
38,610087,30071,BLAIR,Blair Early Childhood Center,ES,249,,0.5943775100401606,0.7710843373493976,0.30120481927710846,0.08433734939759036,0.6947791164658634,0.1646586345381526,0.0,0.0,0.0,0.0,0.01606425702811245,0.03614457831325301,0.004016064257028112,Hispanic,POINT (-87.79060442456863 41.77655626926709),1.0,0.0,93893.0,0.004016064257028112
39,610034,31161,LAWNDALE,Lawndale Elementary Community Academy,ES,216,2,0.9722222222222222,0.18981481481481483,0.0,0.9814814814814815,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,POINT (-87.71295678680646 41.8629600240244),1.0,0.0,61590.0,0.004629629629629629
40,610185,25471,STEVENSON,Adlai E Stevenson Elementary School,ES,1211,1,0.8620974401321222,0.17341040462427745,0.38893476465730803,0.05284888521882741,0.8959537572254336,0.037985136251032205,0.0033030553261767133,0.004128819157720892,0.0,0.0,0.00495458298926507,0.0008257638315441783,0.0,Hispanic,POINT (-87.73166568492817 41.74710687859607),1.0,0.0,84499.0,0.0008257638315441783
41,610036,24151,LEWIS,Leslie Lewis Elementary School,ES,495,1,0.907070707070707,0.11717171717171718,0.17575757575757575,0.6767676767676768,0.3111111111111111,0.00202020202020202,0.00404040404040404,0.0,0.0,0.0,0.00404040404040404,0.00202020202020202,0.0,Black,POINT (-87.75454995058135 41.90682604943746),1.0,0.0,93974.0,0.00202020202020202
42,400028,66161,CICS - PRAIRIE,CICS - Prairie,ES,419,2,0.9260143198090692,0.13842482100238662,0.2386634844868735,0.5417661097852029,0.43914081145584727,0.007159904534606206,0.0,0.00477326968973747,0.0,0.0,0.007159904534606206,0.0,0.0,Black,POINT (-87.61688838173549 41.68443303793266),0.0,0.0,0.0,0.0
43,610369,26651,JACKSON M,Mahalia Jackson Elementary School,ES,373,2,0.9061662198391421,0.22788203753351208,0.002680965147453083,0.9731903485254692,0.013404825737265416,0.002680965147453083,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.00804289544235925,Black,POINT (-87.64676673439911 41.73412547213793),1.0,0.0,88666.0,0.002680965147453083
44,610057,26701,FAIRFIELD,Fairfield Elementary Academy,ES,539,2+,0.9814471243042672,0.10204081632653061,0.5064935064935064,0.19666048237476808,0.7884972170686456,0.0055658627087198514,0.0,0.0018552875695732839,0.0,0.0,0.0074211502782931356,0.0,0.0,Hispanic,POINT (-87.69211506377934 41.78090389778183),1.0,0.0,59920.0,0.0018552875695732839
45,400085,66394,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD,HS,612,1,0.9166666666666666,0.17647058823529413,0.29411764705882354,0.017973856209150325,0.9656862745098039,0.013071895424836602,0.0016339869281045752,0.0016339869281045752,0.0,0.0,0.0,0.0,0.0,Hispanic,POINT (-87.73046684945614 41.80917078922857),0.0,0.0,0.0,0.0
